RecordTypeId,mbfc__Person__c,mbfc__Completion_Date__c,mbfc__Start_Date__c,mbfc__Context__c,mbfc__Category__c,mbfc__Affiliation__c,Archdpdx_Migration_Id__c
012Dx0000003p5AIAQ,003Dx00000nKjApIAK,2005-12-13,,001Dx00001HwFFRIA3,Ecclesial Affiliations,Incardinated,003dx00000nkjapiak20051213incardinated
012Dx0000003p5DIAQ,003Dx00000nKjApIAK,,1998-10-15,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkjapiak19981015faculties(diaconal)
012Dx0000003p5DIAQ,003Dx00000nKjAsIAK,,2015-06-05,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkjasiak20150605faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKjB2IAK,,2011-10-01,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkjb2iak20111001faculties(diaconal)
012Dx0000003p5DIAQ,003Dx00000nKjB5IAK,,2007-06-09,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkjb5iak20070609faculties(general)
012Dx0000003p5AIAQ,003Dx00000nKjBGIA0,1973-12-18,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjbgia019731218readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjBGIA0,1973-12-18,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjbgia019731218acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKjBGIA0,1973-12-18,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkjbgia019731218candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKjBNIA0,,1990-09-04,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkjbnia019900904faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKjBXIA0,,2021-06-17,001Dx00001HwDsgIAF,Faculties,Faculties,003dx00000nkjbxia020210617faculties
012Dx0000003p5DIAQ,003Dx00000nKjBXIA0,2022-05-04,,001Dx00001HwDsgIAF,Faculties,Faculties (Withdrawn),003dx00000nkjbxia020220504faculties(withdrawn)
012Dx0000003p5AIAQ,003Dx00000nKjBXIA0,1968-05-14,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjbxia019680514readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjBXIA0,1968-05-15,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjbxia019680515acolyteinstallation
012Dx0000003p5DIAQ,003Dx00000nKjBgIAK,,2002-12-23,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkjbgiak20021223faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKjBgIAK,2001-09-08,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjbgiak20010908readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjBgIAK,2001-09-08,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjbgiak20010908acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKjBgIAK,2001-09-08,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkjbgiak20010908candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKjBmIAK,,2013-09-15,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkjbmiak20130915faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKjBnIAK,,2022-06-25,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkjbniak20220625faculties(general)
012Dx0000003p5AIAQ,003Dx00000nKjBnIAK,2018-01-14,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjbniak20180114readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjBnIAK,2013-12-15,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjbniak20131215acolyteinstallation
012Dx0000003p5DIAQ,003Dx00000nKjC3IAK,,2018-07-25,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkjc3iak20180725faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKjC5IAK,,2008-10-25,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkjc5iak20081025faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKjC5IAK,2004-12-18,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjc5iak20041218readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjC5IAK,2005-11-05,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjc5iak20051105acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKjC5IAK,2007-11-03,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkjc5iak20071103candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKjC6IAK,,2014-06-14,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkjc6iak20140614faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKjCAIA0,,2012-06-09,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkjcaia020120609faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKjCCIA0,,2019-10-06,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkjccia020191006faculties(confessional)
012Dx0000003p5AIAQ,003Dx00000nKjCCIA0,2007-04-22,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjccia020070422readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjCCIA0,2007-11-25,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjccia020071125acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKjCFIA0,2023-10-18,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkjcfia020231018candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKjCLIA0,,2022-06-01,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkjclia020220601faculties(confessional)
012Dx0000003p5AIAQ,003Dx00000nKjCOIA0,1970-05-15,,,Ecclesial Affiliations,Incardinated,003dx00000nkjcoia019700515incardinated
012Dx0000003p5DIAQ,003Dx00000nKjCOIA0,,1970-08-15,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkjcoia019700815faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKjCVIA0,,2021-06-15,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkjcvia020210615faculties(confessional)
012Dx0000003p5AIAQ,003Dx00000nKjCbIAK,2012-05-18,,001Dx00001HwFFbIAN,Ecclesial Affiliations,Excardinated,003dx00000nkjcbiak20120518excardinated
012Dx0000003p5AIAQ,003Dx00000nKjCeIAK,2007-11-03,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjceiak20071103readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjCeIAK,2008-10-25,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjceiak20081025acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKjCeIAK,2009-10-31,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkjceiak20091031candidateinstallation
012Dx0000003p5AIAQ,003Dx00000nKjRJIA0,2022-05-22,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjrjia020220522readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjRJIA0,2022-05-22,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjrjia020220522acolyteinstallation
012Dx0000003p5DIAQ,003Dx00000nKjRUIA0,,2011-10-29,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkjruia020111029faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKjRUIA0,2009-10-31,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjruia020091031readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjRUIA0,2009-10-31,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjruia020091031acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKjRUIA0,2010-11-06,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkjruia020101106candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKjRaIAK,,1993-11-05,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkjraiak19931105faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKjRaIAK,1993-04-17,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkjraiak19930417readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKjRaIAK,1993-04-17,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkjraiak19930417acolyteinstallation
